r,phi,z
66,0,146
785,0,140
2408,0,70
2408,0,140
0,0,130
0,0,80
2408,0,120
2325,0,60
66,0,166
0,0,40
785,0,120
3010,0,153
2325,0,120
2325,0,50
785,0,50
2408,0,140
66,0,136
0,0,90
2325,0,140
0,0,30
66,0,106
2325,0,20
3010,0,83
0,0,10
2325,0,50
0,0,40
2408,0,100
2408,0,10
66,0,156
0,0,40
2325,0,60
514,96503,1198
1320,256,90
568,89088,22
514,96503,1168
182,0,138
0,0,140
1320,256,130
514,96503,1308
1376,87381,2108
1320,256,100
1320,256,110
568,89088,62
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
182,0,78
1320,256,80
182,0,118
514,96503,1318
514,96503,1188
0,0,110
3841,0,27
182,0,138
65,0,140
568,89088,72
568,89088,142
0,0,130
0,0,80
568,89088,122
1320,256,60
182,0,158
1376,87381,2008
65,0,120
514,96503,1318
1320,256,120
3841,0,57
65,0,50
568,89088,142
182,0,128
0,0,90
1320,256,140
0,0,30
182,0,98
3841,0,27
514,96503,1248
1376,87381,1978
1320,256,50
1376,87381,2008
568,89088,102
568,89088,12
182,0,148
1376,87381,2008
1320,256,60
3841,0,37
0,0,90
65,0,20
3841,0,7
1376,87381,2078
930,256,140
0,0,130
3841,0,147
3570,0,165
0,0,100
0,0,110
65,0,60
930,256,40
771,76279,1308
3570,0,95
771,76279,1198
3570,0,25
3570,0,105
1376,87381,2018
0,0,80
1376,87381,2058
3841,0,157
3841,0,27
930,256,110
771,76279,1188
1376,87381,2078
3280,83968,141
65,0,70
65,0,140
930,256,130
930,256,80
65,0,120
0,0,60
1376,87381,2098
3570,0,65
3280,83968,121
3841,0,157
0,0,120
771,76279,1218
3280,83968,51
65,0,140
1376,87381,2068
930,256,90
0,0,140
930,256,30
1376,87381,2038
771,76279,1188
3841,0,87
3570,0,35
0,0,50
3570,0,65
65,0,100
65,0,10
1376,87381,2088
3570,0,65
0,0,60
65,0,30
1376,87381,2058
773,26871,1188
65,0,0
832,256,110
3894,0,164
1376,87381,2098
65,0,140
0,0,140
1376,87381,2068
1376,87381,2078
773,26871,1228
3894,0,64
3766,73728,141
0,0,70
3766,73728,31
0,0,0
0,0,80
832,256,50
1376,87381,2048
832,256,90
65,0,150
65,0,20
3894,0,134
3766,73728,21
832,256,110
3841,0,147
773,26871,1238
773,26871,1308
3894,0,154
3894,0,104
773,26871,1288
1376,87381,2028
832,256,130
0,0,40
3841,0,127
65,0,150
1376,87381,2088
3766,73728,51
3841,0,57
773,26871,1308
832,256,100
3894,0,114
1376,87381,2108
3894,0,54
832,256,70
3766,73728,21
65,0,80
0,0,10
1376,87381,2018
0,0,40
773,26871,1268
773,26871,1178
832,256,120
0,0,40
1376,87381,2028
2391,0,31
2440,0,126
2326,0,20
2391,0,1
2391,0,111
2391,0,141
2440,0,166
2391,0,141
2326,0,140
2440,0,136
2440,0,146
2326,0,60
2391,0,41
584,0,145
2326,0,70
584,0,35
2326,0,0
2326,0,80
2391,0,51
2440,0,116
2391,0,91
2391,0,151
2391,0,21
2391,0,111
584,0,25
2391,0,111
136,0,144
2326,0,70
2326,0,140
2391,0,131
2391,0,81
2326,0,120
2440,0,96
2391,0,131
2326,0,40
136,0,124
2391,0,151
2440,0,156
584,0,55
136,0,54
2326,0,140
2391,0,101
2391,0,91
